id,gasmetallicity,gasmetallicityhalfrad,mass,halfmassrad,mass_gas,halfmassrad_gas,mass_dm,halfmassrad_dm,mass_stars,halfmassrad_stars,sfr,sfrinhalfrad,spin_x,spin_y,spin_z,starrmetallicity,starmetallicityhalfrad
66090,0.0599816,0.0649784,47.3775,24.6602,0.1801,3.4414,42.6201,26.933,4.56888,5.3596,0.550414,0.550414,376.007,-198.326,41.1334,0.0288229,0.0346588
368016,0.0471103,0.0494455,81.0843,54.1857,0.075359,3.8555,76.4351,58.5181,4.56765,5.3495,0.0883315,0.0883315,-41.554,-61.7826,-393.394,0.0268962,0.0325278
355844,0.00819153,0.00761404,275.153,103.863,1.26933,132.104,269.296,105.299,4.55494,4.1563,0,0,-76.0151,427.388,2011.27,0.0199847,0.0221659
317207,0.0436013,0.0578411,179.768,113.597,1.23787,10.2497,173.976,118.229,4.5486,6.1012,1.8218,0.849909,-3619.24,1625.11,4738.61,0.0250114,0.0284325
419055,0.050468,0.0791325,86.4365,51.5213,1.50806,14.2481,80.3865,56.682,4.53683,4.874,2.02099,0.289163,327.106,294.876,466.336,0.0287157,0.0319836
275939,0,0,7.14918,2.2477,0,0,2.62069,2.5272,4.52849,2.0527,0,0,-88.9799,133.148,44.8042,0.0294159,0.031401
361852,0.0470803,0.0609519,160.191,92.4203,0.668776,51.6094,154.995,96.492,4.51964,4.5193,0.287831,0.206385,-3267.65,-1316.18,2106.97,0.0241651,0.0269638
239024,0.0299938,0.0345795,49.1982,23.5378,0.284521,8.3774,44.3837,25.6247,4.5179,5.8558,0.155765,0.142335,-193.025,755.858,-93.3046,0.0202334,0.0225956
391673,0.0320696,0.0401921,148.89,88.2292,1.1157,31.8785,143.252,91.948,4.51724,6.9653,0.617526,0.498052,-705.969,2017.44,585.511,0.0225938,0.0258865
73679,0.0500051,0.0568626,35.8745,20.5622,0.07022,2.6127,31.2759,23.4041,4.51673,3.4902,0.158506,0.158506,-195.578,353.204,424.611,0.0259217,0.0297261
312111,0.0367011,0.0432854,77.2128,49.2,2.08943,20.1293,70.614,55.3056,4.50688,6.6378,2.49489,1.19964,-428.983,745.429,-528.474,0.0253261,0.02593
409809,0.0271209,0.031445,97.8974,69.5907,3.75699,22.198,89.636,74.257,4.50126,9.5029,5.30329,4.50069,-242.454,-600.265,-1640.62,0.0203605,0.0224205
86198,0.0492141,0.0616825,39.5962,25.8927,0.454004,7.0298,34.6426,30.5521,4.4981,6.9145,0.689146,0.630218,55.6167,451.812,-408.266,0.025074,0.028689
408916,0.0285507,0.0348238,82.9335,47.9704,5.6597,19.0626,72.7757,57.0124,4.49637,8.9128,10.5663,3.0602,-1382.7,554.488,-1026.89,0.0220337,0.0212805
434883,0.0366116,0.0460545,53.0521,29.6253,3.51551,12.7162,45.0402,36.7308,4.49606,6.4367,8.10254,4.64904,-664.647,256.619,-220.316,0.0273376,0.0293073
382061,0.0346481,0.0497325,78.2341,58.3427,2.77502,26.066,70.9663,64.8936,4.49089,5.4503,3.18053,1.97251,1361.9,-3.43526,928.362,0.0263088,0.0295186
423459,0.0548187,0.0626038,85.5056,60.7895,0.738063,20.5582,80.2824,66.1207,4.48064,6.7543,0.785269,0.785269,-15.7092,506.684,807.033,0.0252049,0.0288878
376668,0.0261073,0.0338973,143.546,85.1123,4.20753,17.8203,134.86,90.9918,4.47373,6.1323,6.4349,3.34882,341.137,-734.848,943.241,0.0235352,0.0265942
275495,0.0239781,0.0261122,82.2122,44.6361,0.587262,15.3127,77.1384,46.5282,4.47211,11.9084,0.730471,0.730471,-1025.37,-876.75,18.571,0.0179034,0.0197185
120622,0.0668023,0.0760006,49.6964,27.1508,0.447511,6.9966,44.7713,30.192,4.4715,4.7032,1.48137,1.48084,336.312,205.687,13.8342,0.0294746,0.0326231
431464,0.038088,0.041454,59.8346,44.6307,3.86162,23.3342,51.502,53.5429,4.46987,5.6906,8.09139,3.41684,483.664,620.564,378.176,0.0271221,0.0260911
386237,0.0368817,0.0441149,84.3403,58.3175,5.52317,27.9987,74.3466,66.3072,4.46958,5.3463,7.74929,6.20606,700.319,529.619,-137.456,0.0255126,0.0286635
384329,0.0265815,0.0392268,133.451,83.9307,6.52827,26.263,122.452,91.9619,4.46793,8.3971,7.69565,3.12805,-374.332,-1342.09,-510.141,0.0218072,0.0225131
312449,0.015694,0.0184295,360.024,160.758,4.13378,126.208,351.397,162.749,4.46373,6.6043,0.475187,0.420112,1311.75,-9075.8,2499.41,0.0185523,0.0197901
380091,0.012594,0.0127123,174.311,99.803,1.12827,185.337,168.702,102.721,4.46337,2.1435,0,0,892.12,678.826,1358.51,0.0267468,0.0298848
403844,0.0408234,0.0536987,94.3042,71.6203,3.42564,23.1538,86.414,77.6598,4.46194,4.3603,5.23728,2.74523,2104.44,-2131.31,-1575.91,0.0281647,0.0305915
407165,0.0508522,0.0724159,119.057,64.1345,0.891351,12.2043,113.705,68.0271,4.45216,4.4012,0.448515,0.15299,-193.054,77.1687,-40.281,0.0245742,0.0265949
41099,0,0,87.6993,42.8805,0,0,83.2408,45.6899,4.446,3.3023,0,0,83.5573,133.536,272.971,0.025676,0.0286478
283109,0.0357717,0.0458577,17.3609,11.6089,0.754695,8.3001,12.1577,16.0094,4.44548,5.2849,2.36862,2.35958,-111.392,-4.91533,116.686,0.0267232,0.0304512
381974,0.0252967,0.0335964,174.991,91.2968,1.10053,45.2354,169.433,94.9407,4.44456,4.9725,0.170422,0.144156,-1466.46,688.809,16.1542,0.0204122,0.0218288
420470,0.0382141,0.0457929,85.6701,54.5884,2.63235,10.3929,78.5925,60.8599,4.44319,5.1346,8.77218,4.97114,49.4862,30.5065,-286.391,0.0276634,0.0298844
383739,0.0256498,0.0378134,134.068,72.9745,8.29429,23.5836,121.328,80.8468,4.4429,8.2373,11.3603,4.3991,2096.71,2337.3,1309.84,0.0206746,0.0223611
383437,0.045122,0.0467734,125.026,69.2265,0.125162,20.8726,120.446,72.7358,4.43856,2.7563,0.0866256,0.0866256,-119.081,-577.771,-338.612,0.0260383,0.0294625
73677,0.0378789,0.0448027,46.0418,29.5496,1.78416,12.7546,39.8196,34.582,4.43657,5.235,5.6986,5.58287,23.3836,368.865,-750.85,0.0280033,0.0317139
396937,0.0360269,0.0492866,140.312,75.8901,0.634445,11.1995,135.234,79.468,4.43376,5.0861,0.435211,0.0996735,-62.5828,-201.487,728.772,0.023818,0.0267261
99157,0.0399919,0.052789,25.445,14.5787,1.9825,12.6841,19.0304,18.1034,4.43187,4.9522,4.65717,4.16574,-262.923,-272.709,-328.747,0.0297586,0.0354131
373132,0.0285717,0.0317567,204.181,95.1826,0.560741,149.935,199.177,97.3945,4.43182,5.334,0.173276,0.173276,-1529.69,-142.59,406.048,0.0220938,0.0251319
183686,0.0318419,0.0419527,51.4236,29.8853,3.69503,12.5054,43.2952,35.8701,4.43008,6.338,9.55892,4.95973,-205.795,129.394,744.27,0.0233677,0.025907
235353,0.0414534,0.0562144,21.9289,10.7682,0.445865,6.3499,17.042,12.6444,4.42942,4.2391,0.992469,0.690467,-349.739,249.975,-113.826,0.0249673,0.0281914
312450,0.0314736,0.0438465,27.9077,17.0668,2.95319,14.4067,20.529,19.8699,4.42363,7.0548,4.43787,3.42691,-147.46,24.8346,278.447,0.0237383,0.0277126
183688,0.0381344,0.0477344,39.6475,25.303,0.795465,11.4905,34.4252,29.3729,4.4235,4.9529,0.454805,0.357458,130.314,396.611,77.3148,0.0255716,0.029516
387053,0.0465082,0.0585695,162.591,89.4272,1.11511,23.3636,157.051,92.9513,4.41474,4.9515,1.30618,1.08842,631.628,-364.709,-109.582,0.0253756,0.028444
16952,0.0377693,0.0449529,70.0412,49.8477,1.50174,7.2659,64.1249,55.0304,4.41285,5.0838,5.65474,3.70793,254.472,-403.596,-36.1706,0.0266277,0.0304822
433821,0.0269916,0.0326945,49.4947,36.6293,5.97289,20.7591,39.1084,47.3986,4.41268,7.6413,8.01391,3.31164,390.171,576.435,478.698,0.0231646,0.0245251
366800,0.0312676,0.0394931,195.556,103.817,3.14694,48.9718,187.991,107.181,4.41184,6.536,3.01653,2.20446,1761.95,-1659.69,-2045.52,0.0229247,0.0257423
406142,0.0374536,0.0471469,100.094,67.7242,1.05211,9.0171,94.6283,72.3077,4.40756,6.5781,1.49295,1.12404,-36.6266,-805.062,235.53,0.0242123,0.0292919
441614,0.0327901,0.0379361,47.4465,31.4198,4.69481,18.0339,38.3496,40.6619,4.40152,5.9023,11.3804,8.58603,-222.982,-8.46745,-7.97593,0.0270764,0.0276185
402924,0.0175095,0.0195419,90.5163,53.4441,11.474,28.1476,74.6411,64.6592,4.40042,13.5775,9.6436,4.16285,-323.418,-1863.98,-986.305,0.0173123,0.0181153
421849,0.0369869,0.0440724,71.1983,47.4937,4.08427,28.8009,62.7127,54.6039,4.40014,5.5253,6.05222,1.33018,-207.256,42.0048,138.696,0.0273787,0.0275949
393145,0.0356981,0.0489505,123.776,78.5009,3.8444,25.4334,115.528,84.2629,4.3998,6.9172,3.78055,0.17276,1456.48,-1323.85,1738.62,0.023968,0.024762
